,img_url,description
1918,/us/en/images/products/nordli-drawer-chest-gray__0608964_PE689967_S4.JPG,"You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1919,/us/en/images/products/nordli-drawer-chest-gray__0555350_PE660429_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1920,/us/en/images/products/nordli-drawer-chest-white__0555302_PE660393_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1921,/us/en/images/products/nordli-drawer-chest-white__0555308_PE660398_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1922,/us/en/images/products/nordli-drawer-dresser-gray__0555352_PE660430_S4.JPG,"You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1923,/us/en/images/products/nordli-drawer-chest-gray__0624226_PE691745_S4.JPG,"You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1924,/us/en/images/products/nordli-drawer-chest-gray__0555310_PE660439_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1925,/us/en/images/products/nordli-drawer-chest-white__0555318_PE660402_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1926,/us/en/images/products/nordli-drawer-dresser-gray__0608184_PE689858_S4.JPG,"You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1927,/us/en/images/products/nordli-drawer-dresser-gray__0608802_PE689952_S4.JPG,"You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1928,/us/en/images/products/nordli-drawer-dresser-white__0555360_PE660405_S4.JPG,"You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1929,/us/en/images/products/nordli-drawer-dresser-white__0555364_PE660436_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1930,/us/en/images/products/nordli-drawer-dresser-gray__0555358_PE660471_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1931,/us/en/images/products/nordli-drawer-dresser-white__0555314_PE660399_S4.JPG,"You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1932,/us/en/images/products/nordli-drawer-dresser-white__0555324_PE660415_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1933,/us/en/images/products/nordli-drawer-dresser-gray__0555366_PE660448_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1934,/us/en/images/products/nordli-drawer-dresser-white__0555368_PE660473_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1935,/us/en/images/products/nordli-drawer-dresser-white__0661778_PE711616_S4.JPG,"You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1936,/us/en/images/products/nordli-drawer-dresser-white__0555372_PE660460_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1937,/us/en/images/products/nordli-drawer-dresser-gray__0555374_PE660453_S4.JPG,"You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1938,/us/en/images/products/nordli-drawer-dresser-gray__0555376_PE660454_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1939,/us/en/images/products/nordli-drawer-dresser-gray__0555370_PE660450_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1940,/us/en/images/products/nordli-drawer-chest-gray__0555334_PE660421_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1941,/us/en/images/products/nordli-drawer-chest-white__0555332_PE660420_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1942,/us/en/images/products/nordli-bed-frame-with-storage-gray__0640012_PE699607_S4.JPG,"The compact design is perfect for tight spaces or under low ceilings, so you can make the most of your available space. Ample storage space is hidden neatly under the bed in 6 large drawers. Perfect for storing quilts, pillows and bed linen. Softclosing drawers run smoothly, slowly and silently. This versatile bed frame will look great with your choice of textiles and bedroom furniture."
1943,/us/en/images/products/nordli-bed-with-headboard-and-storage-white__0749134_PE745503_S4.JPG,"Ample storage space is hidden neatly under the bed in 6 large drawers. Perfect for storing quilts, pillows and bed linen. Softclosing drawers run smoothly, slowly and silently. Storage in the headboard saves space and makes it easier to access boxes or drawers under the bed; and it’s easier to vacuum too. The soft felt pad absorbs sound, protects from scratches and keeps small items in place. You can choose where to position the boxes and shelves since they easily slot into the headboard’s grooves. You can hide cables for lamps and chargers by feeding them through the holes at the back of the shelf. You decide the height of the headboard since it needs to be mounted to the wall. NORDLI headboard is assembled and mounted on the wall in just a few steps. Easy to bring home since the headboard is divided into two pieces."
1944,/us/en/images/products/nordli-chest-gray__0608820_PE689953_S4.JPG,"You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1945,/us/en/images/products/nordli-modular-drawer-chest-gray__0555245_PE660215_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1946,/us/en/images/products/nordli-modular-drawer-chest-gray__0555247_PE660216_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1947,/us/en/images/products/nordli-modular-drawer-chest-white__0555208_PE660199_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1948,/us/en/images/products/nordli-modular-drawer-chest-white__0555211_PE660201_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1949,/us/en/images/products/nordli-modular-drawer-chest-gray__0555251_PE660218_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1950,/us/en/images/products/nordli-modular-drawer-chest-gray__0555249_PE660217_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1951,/us/en/images/products/nordli-modular-drawer-chest-white__0555217_PE660205_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1952,/us/en/images/products/nordli-modular-drawer-chest-white__0555214_PE660203_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1953,/us/en/images/products/nordli-modular-chest-gray__0627421_PE693349_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. You can use one modular chest of drawers or combine several to get a storage solution that perfectly suits your space. You can easily create your own personal design by mixing chests of different colors. Integrated damper catches the running drawer and closes it slowly, silently and softly. The concealed drawer runners ensure that drawers run smoothly even when heavily loaded. Adjustable feet make it possible to compensate for any irregularities in the floor."
1954,/us/en/images/products/nordli-top-and-base-gray__0555259_PE660222_S4.JPG,
1955,/us/en/images/products/nordli-top-and-base-white__0555220_PE660207_S4.JPG,
1956,/us/en/images/products/norraker-bar-stool-with-backrest__0672480_PE716729_S4.JPG,"Durable and hardwearing.  Meets the requirements on furniture for public use. Every bar stool is unique, with varying grain pattern and natural color shifts that are part of the charm of wood. Solid birch is a durable natural material. With footrest for relaxed sitting posture. Stackable; saves space when not in use."
1957,/us/en/images/products/norraker-bar-stool-with-backrest-black__0518762_PE641228_S4.JPG,"Durable and hardwearing.  Meets the requirements on furniture for public use. Every bar stool is unique, with varying grain pattern and natural color shifts that are part of the charm of wood. Solid birch is a durable natural material. Stackable; saves space when not in use. With footrest for relaxed sitting posture."
1958,/us/en/images/products/norraker-bar-table__0672482_PE716730_S4.JPG,"Durable and sturdy; meets the requirements on furniture for public use. Every table is unique, with varying grain pattern and natural color shifts that are part of the charm of wood. Rounded corners minimizes the risk of a child getting hurt."
1959,/us/en/images/products/norraker-bench__0672484_PE716731_S4.JPG,"Durable and hardwearing.  Meets the requirements on furniture for public use. Less risk of children hitting their head as the bench has rounded corners. Every bench is unique, with varying grain pattern and natural color shifts that are part of the charm of wood. Solid birch is a durable natural material."
1960,/us/en/images/products/norraker-stool__0672486_PE716732_S4.JPG,"Durable and hardwearing.  Meets the requirements on furniture for public use. Every stool is unique, with varying grain pattern and natural color shifts that are part of the charm of wood. Solid birch is a durable natural material."
1961,/us/en/images/products/norraker-table__0672490_PE716734_S4.JPG,"Durable and sturdy; meets the requirements on furniture for public use. Every table is unique, with varying grain pattern and natural color shifts that are part of the charm of wood. Rounded corners minimizes the risk of a child getting hurt."
1962,/us/en/images/products/norraker-table__0672488_PE716733_S4.JPG,"Durable and sturdy; meets the requirements on furniture for public use. Every table is unique, with varying grain pattern and natural color shifts that are part of the charm of wood. Rounded corners minimizes the risk of a child getting hurt."
1963,/us/en/images/products/nymane-led-ceiling-lamp-white__0607738_PE683167_S4.JPG,Gives a good general light.
1964,/us/en/images/products/nymane-ceiling-light-with-spotlights-white__0607350_PE682899_S4.JPG,You can easily direct the light to different places since each spotlight can be adjusted individually.
1965,/us/en/images/products/nymane-ceiling-spotlight-with-lights-white__0607344_PE682893_S4.JPG,You can easily direct the light to different places since each spotlight can be adjusted individually.
1966,/us/en/images/products/nymane-floor-lamp-white__0684005_PE720968_S4.JPG,The grid on the top disperses light upwards and provides good general lighting. The grid on the bottom protects against glare and projects a pleasant light downwards.
1967,/us/en/images/products/nymane-pendant-lamp-white__0485490_PE621551_S4.JPG,"The grid on the top disperses light upwards and provides good general lighting. The grid on the bottom protects against glare and projects a pleasant light downwards. Thanks to the design of the ceiling cup, you will easily be able get it straight and close to the ceiling."
1968,/us/en/images/products/nymane-pendant-lamp-gray__0607417_PE682967_S4.JPG,"The grid on the top disperses light upwards and provides good general lighting. The grid on the bottom protects against glare and projects a pleasant light downwards. Thanks to the design of the ceiling cup, you will easily be able get it straight and close to the ceiling."
1969,/us/en/images/products/nymane-table-lamp-white__0683832_PE720877_S4.JPG,The grid on the top disperses light upwards and provides good general lighting. The grid on the bottom protects against glare and projects a pleasant light downwards.
1970,/us/en/images/products/nymane-wall-lamp-with-swing-arm-white__0556038_PE660479_S4.JPG,"As the light can be dimmed, you are able to choose lighting suitable for every occasion. Provides a directed light that is great for reading. You can easily direct the light where you want it because the lamp arm and head are adjustable. Helps lower your electric bill because dimming the lights saves energy."
1971,/us/en/images/products/nymane-wall-up-downlight-white__0585693_PE671819_S4.JPG,Light directed both upwards and downwards.
1972,/us/en/images/products/nymane-work-wall-lamp-white__0588466_PE673072_S4.JPG,Can be used as a work lamp or mounted on the wall as a wall lamp. You can charge your mobile phone or other devices through the builtin USB port in the lamp. Provides a directed light that is great for reading. You can easily direct the light where you want it because the lamp arm and head are adjustable.
1973,/us/en/images/products/ofantligt-bowl-white__0712200_PE728653_S4.JPG,OFANTLIGT dinnerware is a modern classic with elegant features and a color that makes it easy to combine with other porcelain.
1974,/us/en/images/products/ofantligt-mug-white__0711053_PE727928_S4.JPG,OFANTLIGT dinnerware is a modern classic with elegant features and a color that makes it easy to combine with other porcelain.
1975,/us/en/images/products/ofantligt-plate-white__0712376_PE728795_S4.JPG,OFANTLIGT dinnerware is a modern classic with elegant features and a color that makes it easy to combine with other porcelain.
1976,/us/en/images/products/ofantligt-side-plate-white__0712361_PE728780_S4.JPG,OFANTLIGT dinnerware is a modern classic with elegant features and a color that makes it easy to combine with other porcelain.
1977,/us/en/images/products/oftast-bowl-white__0712208_PE728639_S4.JPG,"Made of tempered glass, which makes the bowl durable and extra resistant to impact. Dishwasher and microwavesafe."
1978,/us/en/images/products/oftast-deep-plate-bowl-white__0712360_PE728779_S4.JPG,"Made of tempered glass, which makes the bowl durable and extra resistant to impact. Dishwasher and microwavesafe."
1979,/us/en/images/products/oftast-plate-white__0712367_PE728786_S4.JPG,"Made of tempered glass, which makes the plate durable and extra resistant to impact. You can also use this plate as a practical lid for the serving bowl in the same series. Dishwasher and microwavesafe."
1980,/us/en/images/products/oftast-side-plate-white__0713530_PE729595_S4.JPG,"Made of tempered glass, which makes the side plate durable and extra resistant to impact. Dishwasher and microwavesafe."
1981,/us/en/images/products/lillhult-usb-type-c-to-usb-cord-pink__0728509_PE736329_S4.JPG,"A textile surface makes the cable both decorative and durable. The cable is 59"", slightly longer than the standard length of the cables that usually come with phones. Practical when charging on a train or in a café. Can charge your devices at the maximum speed supported by your USB charger and your phone. The attached elastic band acts as cable holder and keeps your cables untangled and neatly stored."
1982,/us/en/images/products/lillhult-lightning-to-usb-cord-pink__0728507_PE736330_S4.JPG,"A textile surface makes the cable both decorative and durable. The cable is 59"", slightly longer than the standard length of the cables that usually come with phones. Practical when charging on a train or in a café. Can charge your devices at the maximum speed supported by your USB charger and your phone. The attached elastic band acts as cable holder and keeps your cables untangled and neatly stored."
1983,/us/en/images/products/lillhult-micro-usb-to-usb-cord-pink__0728508_PE736331_S4.JPG,"A textile surface makes the cable both decorative and durable. The cable is 59"", slightly longer than the standard length of the cables that usually come with phones. Practical when charging on a train or in a café. Can charge your devices at the maximum speed supported by your USB charger and your phone. The attached elastic band acts as cable holder and keeps your cables untangled and neatly stored."
1984,/us/en/images/products/lorby-usb-charger-with-clamp__0728441_PE736282_S4.JPG,"This flexible USB charger is simple to attach where you need it ‒ use the magnet, selfadhesive tape or a clamp that you can attach to something like a table top. You can charge up to 3 devices at the same time as the charger has 3 individual USB ports."
1985,/us/en/images/products/lorby-usb-charger-with-clamp-orange__0728439_PE736284_S4.JPG,"This flexible USB charger is simple to attach where you need it ‒ use the magnet, selfadhesive tape or a clamp that you can attach to something like a table top. You can charge up to 3 devices at the same time as the charger has 3 individual USB ports."
1986,/us/en/images/products/ombyte-led-multi-use-light-beige__0746190_PE743872_S4.JPG,"You can choose the brightness by turning the two different parts of the lamp on or off. When you want to put the lamp away, just wrap the USB cable around the lamp and fix it in place."
1987,/us/en/images/products/ombyte-bag__0727904_PE735920_S4.JPG,"Perfect for transporting most things, from laundry and groceries to recyclable items. The contents won’t fall out even if the bag drops, since the top zips closed. You can do something good for the environment by using this bag instead of disposable bags. Easy to keep clean by just wiping with a damp cloth. You can carry the bag in two ways – by the handles or on your back with the long straps over your shoulders."
1988,/us/en/images/products/ombyte-bag-white__0727899_PE735915_S4.JPG,"Perfect for transporting most things, from laundry and groceries to recyclable items. The contents won’t fall out even if the bag drops, since the top zips closed. You can do something good for the environment by using this bag instead of disposable bags. Easy to keep clean by just wiping with a damp cloth."
1989,/us/en/images/products/ombyte-bag-white__0727902_PE735918_S4.JPG,"Perfect for transporting most things, from laundry and groceries to recyclable items. The contents won’t fall out even if the bag drops, since the top zips closed. You can do something good for the environment by using this bag instead of disposable bags. Easy to keep clean by just wiping with a damp cloth. You can carry the bag in two ways – by the handles or on your back with the long straps over your shoulders."
1990,/us/en/images/products/ombyte-bag-assorted-colors__0727897_PE735913_S4.JPG,"Perfect for transporting most things, from laundry and groceries to recyclable items. The contents won’t fall out even if the bag drops, since the top zips closed. You can do something good for the environment by using this bag instead of disposable bags. Easy to keep clean by just wiping with a damp cloth."
1991,/us/en/images/products/ombyte-box-with-lid__0727936_PE735954_S4.JPG,Can be used indoors in damp areas. Easy to lift and carry as the box has handles. The label holder on the side helps you organize and find your things.
1992,/us/en/images/products/ombyte-box-with-lid__0727937_PE735955_S4.JPG,Can be used indoors in damp areas. Easy to lift and carry as the box has handles. The label holder on the side helps you organize and find your things.
1993,/us/en/images/products/ombyte-box-with-lid__0727938_PE735960_S4.JPG,Can be used indoors in damp areas. Easy to lift and carry as the box has handles. The label holder on the side helps you organize and find your things.
1994,/us/en/images/products/ombyte-cart-pink__0728432_PE736276_S4.JPG,"Perfect for transporting your purchases, or heavy items in your home. Easy to fold up and put away when not in use."
1995,/us/en/images/products/ombyte-cart-beige__0728430_PE736277_S4.JPG,"Perfect for transporting your purchases, or heavy items in your home. Easy to fold up and put away when not in use."
1996,/us/en/images/products/ombyte-divider-for-packing-box__0727910_PE735933_S4.JPG,"With these 10 dividers, you can quickly and easily create compartments for different things in your packing box. If you want more compartments just add more dividers."
1997,/us/en/images/products/ombyte-elastic-loading-strap-set-of-__0727912_PE735927_S4.JPG,"With these 3 elastic loading straps, you can secure your load and keep big and small things in place."
1998,/us/en/images/products/ombyte-moving-box-white__0727916_PE735925_S4.JPG,"A sturdy, stackable box made of cardboard which you can easily fold together and use again. Cutout handles on two sides make it easier to lift and carry the box."
1999,/us/en/images/products/ombyte-moving-box-white__0727920_PE735924_S4.JPG,"A sturdy, stackable box made of cardboard which you can easily fold together and use again. Cutout handles on two sides make it easier to lift and carry the box."
2000,/us/en/images/products/ombyte-moving-box-orange__0727917_PE735931_S4.JPG,"A sturdy, stackable box made of cardboard which you can easily fold together and use again. Cutout handles on two sides make it easier to lift and carry the box."
2001,/us/en/images/products/ombyte-moving-box-pink__0727914_PE735939_S4.JPG,"A sturdy, stackable box made of cardboard which you can easily fold together and use again. Cutout handles on two sides make it easier to lift and carry the box."
2002,/us/en/images/products/ombyte-padded-moving-blanket-white__0727939_PE735957_S4.JPG,
2003,/us/en/images/products/ombyte-roll-of-tape__0727940_PE735958_S4.JPG,
2004,/us/en/images/products/ombyte-storage-combination-on-casters__0727941_PE735959_S4.JPG,Easy to move  casters included.
2005,/us/en/images/products/ombyte-tape-dispenser__0727949_PE735953_S4.JPG,
2006,/us/en/images/products/ombyte-wire-basket__0728435_PE736279_S4.JPG,"Can be used indoors in damp areas. Foldable, which makes it easy to store. Easy to fold up and take with you. Stackable."
2007,/us/en/images/products/omtanksam-jar-opener-gray__0739198_PE741661_S4.JPG,Helps you get a better grip when opening jars and bottles.
2008,/us/en/images/products/ordning-colander__23490_PE065813_S4.jpg,
2009,/us/en/images/products/ordning-dish-drainer__0712681_PE728966_S4.JPG,"Holds large plates with a dia. up to 13"" as well."
2010,/us/en/images/products/ordning-scale__0711111_PE727967_S4.JPG,Can be set to zero with the content in the bowl. You can slide in the display to save space.
2011,/us/en/images/products/ordning-timer__26134_PE111200_S4.jpg,
2012,/us/en/images/products/ordning-utensil-holder__0711105_PE727961_S4.JPG,Suitable for large kitchen utensils.
2013,/us/en/images/products/ordning-utensil-holder__23278_PE070489_S4.jpg,Also suitable for storing and keeping your favorite cooking utensils accessible on the countertop.
2014,/us/en/images/products/oumbarlig-piece-cookware-set__0710410_PE727531_S4.JPG,"Thick base with one layer of aluminum between two layers of stainless steel. Gives an even and energyefficient heat, which reduces the risk of food burning and sticking. Suitable for all types of cooktops, including induction cooktops. Frying pan with Teflon® Platinum Plus, a nonstick coating that is very durable and suitable for everyday use. Steam vent reduces pressure so that food does not easily boil over. Made of stainless steel, which makes the pan durable and easy to clean. Using the lid brings the contents of the pot to a boil faster, so that you can save time, energy and money while lowering your environmental impact. Can also be used in the oven since it is made entirely of metal."
2015,/us/en/images/products/oumbarlig-frying-pan__0712815_PE729078_S4.JPG,"Thick base with one layer of aluminum between two layers of stainless steel. Gives an even and energyefficient heat, which reduces the risk of food burning and sticking. Suitable for all types of cooktops, including induction cooktops. Treated with Teflon® Platinum plus, a very durable nonstick coating that makes the pan suitable for everyday use. Made of stainless steel, which makes the pan durable and easy to clean."
